iter	Passed	Remaining
435	2242	668
436	2246	663
437	2250	657
438	2258	653
439	2261	647
440	2264	641
441	2273	637
442	2282	633
443	2284	627
444	2286	621
445	2295	617
446	2303	613
447	2307	607
448	2315	603
449	2320	598
450	2323	592
451	2326	586
452	2334	582
453	2337	576
454	2340	570
455	2344	565
456	2347	559
457	2355	555
458	2363	551
459	2366	545
460	2369	539
461	2379	535
462	2381	529
463	2385	524
464	2389	519
465	2393	513
466	2397	508
467	2408	504
468	2411	498
469	2420	494
470	2428	489
471	2430	484
472	2441	479
473	2442	474
474	2451	469
475	2456	464
476	2465	460
477	2467	454
478	2476	449
479	2479	444
480	2489	439
481	2499	435
482	2503	430
483	2507	424
484	2511	419
485	2521	414
486	2522	409
487	2525	403
488	2529	398
489	2539	393
490	2543	388
491	2552	383
492	2561	379
493	2565	373
494	2570	368
495	2582	364
496	2591	359
497	2600	355
498	2601	349
499	2602	343
500	2603	337
501	2615	333
502	2618	327
503	2626	323
504	2628	317
505	2632	312
506	2636	306
507	2639	301
508	2648	296
509	2653	291
510	2657	286
511	2668	281
512	2676	276
513	2686	271
514	2696	267
515	2700	261
516	2703	256
517	2716	251
518	2728	247
519	2733	241
520	2742	236
521	2750	231
522	2761	227
523	2772	222
524	2777	216
525	2787	211
526	2793	206
527	2796	201
528	2804	196
529	2806	190
530	2810	185
531	2814	179
532	2819	174
533	2823	169
534	2828	163
535	2831	158
536	2835	153
537	2842	147
538	2851	142
539	2854	137
540	2857	132
541	2860	126
542	2870	121
543	2878	116
544	2887	111
545	2891	105
546	2894	100
547	2901	95
548	2910	90
549	2913	84
550	2920	79
551	2928	74
552	2935	69
553	2944	63
554	2951	58
555	2955	53
556	2956	47
557	2960	42
558	2965	37
559	2970	31
560	2980	26
561	2988	21
562	2991	15
563	2995	10
564	3004	5
565	3013	0
