iter	Logloss
0	0.6869022369
1	0.6720111302
2	0.6521893093
3	0.6418768747
4	0.6234985352
5	0.6110524859
6	0.6094054631
7	0.6057269505
8	0.5935745239
9	0.593573761
10	0.5784619468
11	0.5674132211
12	0.5562364851
13	0.5494440351
14	0.5466245379
15	0.546622685
16	0.5337360382
17	0.5290495736
18	0.516387231
19	0.5108382089
20	0.5038715908
21	0.5034519196
22	0.498368781
23	0.4901349204
24	0.4855547224
25	0.4835879735
26	0.4773541042
27	0.4681753976
28	0.4650280544
29	0.464843205
30	0.4584329333
31	0.4524838584
32	0.4468050276
33	0.4464033399
34	0.4429799216
35	0.4408002036
36	0.4339629582
37	0.4330917903
38	0.4303031649
39	0.4275221961
40	0.4218061175
41	0.4217951911
42	0.4195844105
43	0.4135878154
44	0.4069661004
45	0.4003223692
46	0.3950578962
47	0.3883578164
48	0.3876080377
49	0.3858812605
50	0.3851825169
51	0.3793152945
52	0.3742544992
53	0.3694167273
54	0.3644080571
55	0.3592205865
56	0.3571417127
57	0.3513172967
58	0.3469830922
59	0.3463469914
60	0.3460865293
61	0.3431733268
62	0.342921693
63	0.3425873893
64	0.3397668566
65	0.3396359035
66	0.3367047174
67	0.333953258
68	0.329788426
69	0.3281435558
70	0.3269886017
71	0.3219772884
72	0.3209499087
73	0.3184465408
74	0.3152587618
75	0.3119603293
76	0.3092776707
77	0.3088715417
78	0.3080902917
79	0.3039376395
80	0.3027764457
81	0.2993522099
82	0.2988942827
83	0.2952007839
84	0.291131837
85	0.2903406688
86	0.2873381751
87	0.2833722251
88	0.2816366741
89	0.2802151816
90	0.2783344269
91	0.2769175938
92	0.2757231031
93	0.2732405526
94	0.2702727182
95	0.2683557238
96	0.2657277243
97	0.2653385162
98	0.2652212415
99	0.2649464743
100	0.2621303286
101	0.2588365282
102	0.2583035605
103	0.2578158787
104	0.256637437
105	0.2544070653
106	0.2521766663
107	0.251972253
108	0.251225199
109	0.2480495725
110	0.2476347787
111	0.2463966642
112	0.246396092
113	0.2462821415
114	0.2461790085
115	0.2432231631
116	0.2405663354
117	0.2377943584
118	0.2349782671
119	0.2347114835
120	0.2322789328
121	0.2306531361
122	0.2285085814
123	0.226241793
124	0.2240138054
125	0.2204281534
126	0.2182379859
127	0.2174539839
128	0.2154138565
129	0.2142203467
130	0.2118673597
131	0.2092120716
132	0.2075518472
133	0.2059593746
134	0.2042838097
135	0.2032697133
136	0.2029532569
137	0.2009190423
138	0.2002188274
139	0.1987954276
140	0.197260843
141	0.195691967
142	0.1940864563
143	0.1919813292
144	0.1899775914
145	0.1881071363
146	0.1878198351
147	0.1862248148
148	0.1846684047
149	0.1839916502
150	0.1824886458
151	0.1814859663
152	0.1796180453
153	0.1780116217
154	0.17770804
